sp,lon,lat
DSV,-79.25568,43.6982
DSV,-79.2717,43.68707
DSV,-79.35784,43.73085
DSV,-79.26088,43.69834
DSV,-79.36093,43.73347
DSV,-79.62479,43.72731
DSV,-79.19002,43.84328
DSV,-79.48287,43.66327
DSV,-79.31705,43.68954
DSV,-79.18503,43.82531
DSV,-79.30215,43.69796
DSV,-79.30327,43.69666
DSV,-79.37993,43.8032
DSV,-79.4919,43.64745
DSV,-79.36463,43.64785
DSV,-79.52897,43.71652
DSV,-79.51886,43.71879
DSV,-79.54391,43.7431
DSV,-79.36391,43.73354
DSV,-79.35773,43.68431
DSV,-79.40097,43.63181
DSV,-79.43776,43.70785
DSV,-79.48124,43.67127
DSV,-79.2561,43.70125
DSV,-79.32738,43.64873
DSV,-79.27899,43.77306
DSV,-79.56748,43.74507
DSV,-79.33333,43.70539
