"","id","lon","lat"
"126",3947811794,639309.75900015,4854145.08311457
"127",3947310471,624229.21376888,4833896.42590167
"128",3947078682,635987.302252535,4854103.986994
"129",3923358971,639316.536074749,4854163.33687119
"130",3915688302,631742.774837306,4847791.20948862
"131",3915351794,631754.818029751,4847784.78106133
"132",3912477639,639284.897093587,4854506.35391606
"133",3912475444,639350.385247461,4854310.05160275
"134",3912467460,639314.376864016,4854135.84615715
"135",3912392241,639318.838576864,4854126.38370089
"136",3912384520,639288.554801629,4854504.54156673
"137",3912355058,639308.477850073,4854133.27805586
"138",3912352291,639360.04897498,4854109.91309628
"139",3912299811,630349.91761564,4848596.35040774
"140",3912279875,639369.940703803,4854121.56525404
"141",3912158937,639292.338393312,4854143.38485423
"142",3912004296,639363.667351582,4854109.98891585
"143",3903566204,629710.547413565,4837765.65306565
"144",3903484173,645822.446345478,4849507.87652866
"145",3902815218,619908.923767795,4836785.18813826
"146",3902663029,612581.089285094,4847512.16676015
"147",3902132261,631276.688863062,4830568.67717461
"148",3892302347,631774.055461286,4842493.51838004
"149",3889040839,622416.496351442,4832450.16862946
"150",3881701495,611991.724603177,4842322.17765367
"151",3881694149,616736.5069534,4837199.66010832
"152",3873843614,635924.86556275,4852986.58286864
"153",3860733981,638864.54718118,4854112.32716416
"154",3860460686,647348.783337007,4853654.16159882
"155",3860097225,631736.594250969,4838439.13757004
"156",3860019408,637460.376397344,4842289.08435496
"157",3859312807,646915.737083046,4852569.93393418
"158",3802725220,639329.777416328,4854433.6245835
"159",3802634925,639331.910228566,4854481.5600031
"160",3802305606,628954.973119053,4838946.19248806
"161",3784735700,623807.552570588,4847069.10046176
"162",3773177838,624222.114860247,4833361.67568516
"163",3760151923,632038.104735491,4847559.39253282
"164",3759405939,632016.767271474,4847510.63744861
"165",3499460482,635914.139274435,4853082.36508129
"166",3465923134,647238.279491168,4853245.12257147
"167",3455186450,647282.403130111,4853654.35833772
"168",3384825226,649582.417209191,4852856.14718212
"169",3384471331,647931.375109311,4854933.99203607
"170",3384243105,623854.635638843,4833913.8148942
"171",3344104573,649902.503906367,4848244.31716261
"172",3338053813,635668.379511632,4853964.69405333
"173",3337712794,631135.164537021,4851930.46968131
"174",3335453052,635444.313944021,4844643.52870298
"175",3335394580,630393.416950484,4851024.47188403
"176",3335394228,637439.668447436,4837178.98622181
"177",3335161928,636379.449534359,4839856.36679789
"178",3335159164,631312.753574752,4837473.83564791
"179",3335126044,635215.603596781,4844517.1115444
"180",3333550510,613804.931614261,4852517.13034512
"181",3333125964,631010.535586669,4848518.31071507
"182",3333085881,638944.759023392,4845504.0945406
"183",3330884602,636979.561946319,4838317.31595791
"184",3330638141,649120.287509577,4850377.7496698
"185",3327995894,632705.613168564,4839878.15428669
"186",3327966924,632770.886160861,4839887.33988893
"187",3327946544,620059.226086062,4836915.87117145
"188",3327768240,648728.593628478,4852686.54752087
"189",3327736895,632084.948317571,4839264.87377257
"190",3327720897,631969.131427557,4839247.03030488
"191",3327709903,632727.422311924,4839875.92096002
"192",3327704929,632445.149203521,4839618.54868887
"193",3321313471,627707.479391049,4854280.61402192
"194",3314156906,622916.164973356,4844971.54036204
"195",3307205692,635416.446808429,4833727.21428218
"196",3302305853,637483.204336553,4837065.88163063
"197",3302195689,648033.523133957,4852606.37495218
